run_date,run_timestamp,stock_code,stock_name,theme_no,theme_name,stock_return_pct,theme_avg_return_pct,stock_alpha_pct,kospi_return_pct,ga_objective_pct,weight,objective_contribution_pct,portfolio_objective_pct,current_price,theme_return_pct,theme_excess_return_pct,volume,trading_value,decision_date,next_date,d_minus_1_date,d_date,next_theme_return_pct,next_theme_excess_pct,next_kospi_return_pct,next_stock_return_pct
20260303,20260303,289930,웨이비스 *,144,방위산업/전쟁 및 테러,-1.12,-0.66,-0.4600000000000001,-7.24,10.1,0.2,2.02,10.1,,2.86,10.1,,,20260303,20260304,20260226,20260227,-14.41,-2.3499999999999996,-12.06,
20260303,20260303,003010,혜인,144,방위산업/전쟁 및 테러,-1.26,-0.66,-0.6,-7.24,10.1,0.2,2.02,10.1,,2.86,10.1,,,20260303,20260304,20260226,20260227,-14.41,-2.3499999999999996,-12.06,
20260303,20260303,372910,한컴라이프케어,144,방위산업/전쟁 및 테러,-1.82,-0.66,-1.1600000000000001,-7.24,10.1,0.2,2.02,10.1,,2.86,10.1,,,20260303,20260304,20260226,20260227,-14.41,-2.3499999999999996,-12.06,
20260303,20260303,009540,HD한국조선해양,144,방위산업/전쟁 및 테러,-1.89,-0.66,-1.23,-7.24,10.1,0.2,2.02,10.1,,2.86,10.1,,,20260303,20260304,20260226,20260227,-14.41,-2.3499999999999996,-12.06,
20260303,20260303,081180,쎄크 *,144,방위산업/전쟁 및 테러,-2.02,-0.66,-1.3599999999999999,-7.24,10.1,0.2,2.02,10.1,,2.86,10.1,,,20260303,20260304,20260226,20260227,-14.41,-2.3499999999999996,-12.06,
20260313,20260313,900260,로스웰 *,228,국내 상장 중국기업,1.59,1.78,-0.18999999999999995,-1.72,4.5,0.2,0.9,4.5,,2.78,4.5,,,20260313,20260316,20260310,20260312,-1.57,-2.84,1.27,
20260313,20260313,900310,컬러레이 *,228,국내 상장 중국기업,1.48,1.78,-0.30000000000000004,-1.72,4.5,0.2,0.9,4.5,,2.78,4.5,,,20260313,20260316,20260310,20260312,-1.57,-2.84,1.27,
20260313,20260313,032580,피델릭스 *,228,국내 상장 중국기업,0.2,1.78,-1.58,-1.72,4.5,0.2,0.9,4.5,,2.78,4.5,,,20260313,20260316,20260310,20260312,-1.57,-2.84,1.27,
20260313,20260313,900110,이스트아시아홀딩스 *,228,국내 상장 중국기업,0.12,1.78,-1.6600000000000001,-1.72,4.5,0.2,0.9,4.5,,2.78,4.5,,,20260313,20260316,20260310,20260312,-1.57,-2.84,1.27,
20260313,20260313,900270,헝셩그룹 *,228,국내 상장 중국기업,0.0,1.78,-1.78,-1.72,4.5,0.2,0.9,4.5,,2.78,4.5,,,20260313,20260316,20260310,20260312,-1.57,-2.84,1.27,
