target_date,adp_release_date,adp_actual,adp_consensus,adp_surprise,payems_release_date,payems_actual,payems_consensus,payems_surprise
2022-09-01,2022-10-05,208,200.0,8.0,2022-10-07,263.0,250.0,13.0
2022-10-01,2022-11-02,239,195.0,44.0,2022-11-04,261.0,200.0,61.0
2022-11-01,2022-11-30,127,200.0,-73.0,2022-12-02,263.0,200.0,63.0
2022-12-01,2023-01-05,235,150.0,85.0,2023-01-06,223.0,200.0,23.0
2023-01-01,2023-02-01,106,178.0,-72.0,2023-02-03,517.0,185.0,332.0
2023-02-01,2023-03-08,242,200.0,42.0,2023-03-10,311.0,205.0,106.0
2023-03-01,2023-04-05,145,200.0,-55.0,2023-04-07,236.0,239.0,-3.0
2023-04-01,2023-05-03,296,148.0,148.0,2023-05-05,253.0,180.0,73.0
2023-05-01,2023-06-01,278,170.0,108.0,2023-06-02,339.0,180.0,159.0
2023-06-01,2023-07-06,497,228.0,269.0,2023-07-07,209.0,225.0,-16.0
2023-07-01,2023-08-02,324,189.0,135.0,2023-08-04,187.0,200.0,-13.0
2023-08-01,2023-08-30,177,195.0,-18.0,2023-09-01,187.0,170.0,17.0
2023-09-01,2023-10-04,89,153.0,-64.0,2023-10-06,336.0,170.0,166.0
2023-10-01,2023-11-01,113,150.0,-37.0,2023-11-03,150.0,180.0,-30.0
2023-11-01,2023-12-06,103,130.0,-27.0,2023-12-08,199.0,180.0,19.0
2023-12-01,2024-01-04,164,115.0,49.0,2024-01-05,216.0,170.0,46.0
2024-01-01,2024-01-31,107,145.0,-38.0,2024-02-02,353.0,187.0,166.0
2024-02-01,2024-03-06,140,149.0,-9.0,2024-03-08,275.0,198.0,77.0
2024-03-01,2024-04-03,184,148.0,36.0,2024-04-05,303.0,212.0,91.0
2024-04-01,2024-05-01,192,179.0,13.0,2024-05-03,175.0,238.0,-63.0
2024-05-01,2024-06-05,152,173.0,-21.0,2024-06-07,272.0,182.0,90.0
2024-06-01,2024-07-03,150,163.0,-13.0,2024-07-05,206.0,191.0,15.0
2024-07-01,2024-07-31,122,147.0,-25.0,2024-08-02,114.0,176.0,-62.0
2024-08-01,2024-09-05,99,144.0,-45.0,2024-09-06,142.0,164.0,-22.0
2024-09-01,2024-10-02,143,124.0,19.0,2024-10-04,254.0,147.0,107.0
2024-10-01,2024-10-30,233,110.0,123.0,2024-11-01,12.0,106.0,-94.0
2024-11-01,2024-12-04,146,166.0,-20.0,2024-12-06,227.0,202.0,25.0
2024-12-01,2025-01-08,122,139.0,-17.0,2025-01-10,256.0,164.0,92.0
2025-01-01,2025-02-05,183,148.0,35.0,2025-02-07,143.0,169.0,-26.0
2025-02-01,2025-03-05,77,141.0,-64.0,2025-03-07,151.0,159.0,-8.0
2025-03-01,2025-04-02,155,118.0,37.0,2025-04-04,228.0,137.0,91.0
2025-04-01,2025-04-30,62,114.0,-52.0,2025-05-02,177.0,138.0,39.0
2025-05-01,2025-06-04,37,111.0,-74.0,2025-06-06,139.0,126.0,13.0
2025-06-01,2025-07-02,-33,99.0,-132.0,2025-07-03,147.0,111.0,36.0
2025-07-01,2025-07-30,104,77.0,27.0,2025-08-01,73.0,106.0,-33.0
2025-08-01,2025-09-04,54,73.0,-19.0,2025-09-05,22.0,75.0,-53.0
2025-09-01,2025-10-01,-32,52.0,-84.0,2025-11-20,119.0,53.0,66.0
2025-11-01,2025-12-03,-32,5.0,-37.0,2025-12-16,64.0,51.0,13.0
2025-12-01,2026-01-07,41,49.0,-8.0,2026-01-09,50.0,66.0,-16.0
2026-01-01,2026-02-04,22,46.0,-24.0,2026-02-11,130.0,66.0,64.0
2026-02-01,2026-03-04,63,50.0,13.0,2026-03-06,-92.0,58.0,-150.0
2026-03-01,2026-04-01,62,41.0,21.0,2026-04-03,178.0,65.0,113.0
2026-04-01,2026-05-06,109,118.0,-9.0,2026-05-08,115.0,65.0,50.0
2026-05-01,2026-06-03,122,118.0,4.0,2026-06-05,172.0,85.0,87.0
2026-06-01,2026-07-01,98,118.0,-20.0,2026-07-02,57.0,114.0,-57.0
