target_date,adp_initial,payems_initial
2020-02-01,153.0,273.0
2020-03-01,-436.0,-701.0
2020-04-01,-6657.0,-20500.0
2020-05-01,-196.0,2509.0
2020-06-01,-39.0,4800.0
2020-07-01,-283.0,1763.0
2020-08-01,229.0,1371.0
2020-09-01,142.0,661.0
2020-10-01,234.0,638.0
2020-11-01,129.0,245.0
2020-12-01,-58.0,-140.0
2021-01-01,-109.0,49.0
2021-02-01,341.0,379.0
2021-03-01,297.0,916.0
2021-04-01,218.0,266.0
2021-05-01,488.0,559.0
2021-06-01,292.0,850.0
2021-07-01,618.0,943.0
2021-08-01,633.0,235.0
2021-09-01,336.0,194.0
2021-10-01,306.0,531.0
2021-11-01,500.0,210.0
2021-12-01,366.0,199.0
2022-01-01,372.0,467.0
2022-02-01,375.0,678.0
2022-03-01,425.0,431.0
2022-04-01,457.0,428.0
2022-05-01,358.0,390.0
2022-06-01,380.0,372.0
2022-07-01,268.0,528.0
2022-08-01,132.0,315.0
2022-09-01,208.0,263.0
2022-10-01,239.0,261.0
2022-11-01,127.0,263.0
2022-12-01,235.0,223.0
2023-01-01,106.0,517.0
2023-02-01,242.0,311.0
2023-03-01,145.0,236.0
2023-04-01,296.0,253.0
2023-05-01,278.0,339.0
2023-06-01,497.0,209.0
2023-07-01,324.0,187.0
2023-08-01,177.0,187.0
2023-09-01,89.0,336.0
2023-10-01,113.0,150.0
2023-11-01,103.0,199.0
2023-12-01,164.0,216.0
2024-01-01,107.0,353.0
2024-02-01,140.0,275.0
2024-03-01,184.0,303.0
2024-04-01,192.0,175.0
2024-05-01,152.0,272.0
2024-06-01,150.0,206.0
2024-07-01,122.0,114.0
2024-08-01,99.0,142.0
2024-09-01,143.0,254.0
2024-10-01,233.0,12.0
2024-11-01,146.0,227.0
2024-12-01,122.0,256.0
2025-01-01,183.0,143.0
2025-02-01,77.0,151.0
2025-03-01,155.0,228.0
2025-04-01,62.0,177.0
2025-05-01,37.0,139.0
2025-06-01,-33.0,147.0
2025-07-01,104.0,73.0
2025-08-01,54.0,22.0
2025-09-01,-32.0,119.0
2025-10-01,42.0,-105.0
2025-11-01,-32.0,64.0
2025-12-01,41.0,50.0
2026-01-01,22.0,130.0
2026-02-01,63.0,-92.0
2026-03-01,62.0,178.0
2026-04-01,109.0,115.0
2026-05-01,122.0,172.0
2026-06-01,98.0,57.0
