target_date,adp_release_date,adp_actual,adp_consensus,payems_release_date,payems_actual,payems_consensus,adp_sign,payems_sign
2022-01-01,2022-08-31,372,,2022-02-04,467.0,,1,1
2022-02-01,2022-08-31,375,,2022-03-04,678.0,,1,1
2022-03-01,2022-08-31,425,,2022-04-01,431.0,,1,1
2022-04-01,2022-08-31,457,,2022-05-06,428.0,,1,1
2022-05-01,2022-08-31,358,,2022-06-03,390.0,,1,1
2022-06-01,2022-08-31,380,,2022-07-08,372.0,,1,1
2022-07-01,2022-08-31,268,,2022-08-05,528.0,,1,1
2022-08-01,2022-08-31,132,,2022-09-02,315.0,300.0,1,1
2022-09-01,2022-10-05,208,200.0,2022-10-07,263.0,250.0,1,1
2022-10-01,2022-11-02,239,195.0,2022-11-04,261.0,200.0,1,1
2022-11-01,2022-11-30,127,200.0,2022-12-02,263.0,200.0,1,1
2022-12-01,2023-01-05,235,150.0,2023-01-06,223.0,200.0,1,1
2023-01-01,2023-02-01,106,178.0,2023-02-03,517.0,185.0,1,1
2023-02-01,2023-03-08,242,200.0,2023-03-10,311.0,205.0,1,1
2023-03-01,2023-04-05,145,200.0,2023-04-07,236.0,239.0,1,1
2023-04-01,2023-05-03,296,148.0,2023-05-05,253.0,180.0,1,1
2023-05-01,2023-06-01,278,170.0,2023-06-02,339.0,180.0,1,1
2023-06-01,2023-07-06,497,228.0,2023-07-07,209.0,225.0,1,1
2023-07-01,2023-08-02,324,189.0,2023-08-04,187.0,200.0,1,1
2023-08-01,2023-08-30,177,195.0,2023-09-01,187.0,170.0,1,1
2023-09-01,2023-10-04,89,153.0,2023-10-06,336.0,170.0,1,1
2023-10-01,2023-11-01,113,150.0,2023-11-03,150.0,180.0,1,1
2023-11-01,2023-12-06,103,130.0,2023-12-08,199.0,180.0,1,1
2023-12-01,2024-01-04,164,115.0,2024-01-05,216.0,170.0,1,1
2024-01-01,2024-01-31,107,145.0,2024-02-02,353.0,187.0,1,1
2024-02-01,2024-03-06,140,149.0,2024-03-08,275.0,198.0,1,1
2024-03-01,2024-04-03,184,148.0,2024-04-05,303.0,212.0,1,1
2024-04-01,2024-05-01,192,179.0,2024-05-03,175.0,238.0,1,1
2024-05-01,2024-06-05,152,173.0,2024-06-07,272.0,182.0,1,1
2024-06-01,2024-07-03,150,163.0,2024-07-05,206.0,191.0,1,1
2024-07-01,2024-07-31,122,147.0,2024-08-02,114.0,176.0,1,1
2024-08-01,2024-09-05,99,144.0,2024-09-06,142.0,164.0,1,1
2024-09-01,2024-10-02,143,124.0,2024-10-04,254.0,147.0,1,1
2024-10-01,2024-10-30,233,110.0,2024-11-01,12.0,106.0,1,1
2024-11-01,2024-12-04,146,166.0,2024-12-06,227.0,202.0,1,1
2024-12-01,2025-01-08,122,139.0,2025-01-10,256.0,164.0,1,1
2025-01-01,2025-02-05,183,148.0,2025-02-07,143.0,169.0,1,1
2025-02-01,2025-03-05,77,141.0,2025-03-07,151.0,159.0,1,1
2025-03-01,2025-04-02,155,118.0,2025-04-04,228.0,137.0,1,1
2025-04-01,2025-04-30,62,114.0,2025-05-02,177.0,138.0,1,1
2025-05-01,2025-06-04,37,111.0,2025-06-06,139.0,126.0,1,1
2025-06-01,2025-07-02,-33,99.0,2025-07-03,147.0,111.0,-1,1
2025-07-01,2025-07-30,104,77.0,2025-08-01,73.0,106.0,1,1
2025-08-01,2025-09-04,54,73.0,2025-09-05,22.0,75.0,1,1
2025-09-01,2025-10-01,-32,52.0,2025-11-20,119.0,53.0,-1,1
2025-10-01,2025-11-05,42,32.0,2025-12-16,-105.0,,1,-1
2025-11-01,2025-12-03,-32,5.0,2025-12-16,64.0,51.0,-1,1
2025-12-01,2026-01-07,41,49.0,2026-01-09,50.0,66.0,1,1
2026-01-01,2026-02-04,22,46.0,2026-02-11,130.0,66.0,1,1
2026-02-01,2026-03-04,63,50.0,2026-03-06,-92.0,58.0,1,-1
2026-03-01,2026-04-01,62,41.0,2026-04-03,178.0,65.0,1,1
2026-04-01,2026-05-06,109,118.0,2026-05-08,115.0,65.0,1,1
2026-05-01,2026-06-03,122,118.0,2026-06-05,172.0,85.0,1,1
2026-06-01,2026-07-01,98,118.0,2026-07-02,57.0,114.0,1,1
