release_date,target_date,PAYEMS_Real_value,ADP_Real_value,payems_sign,adp_sign
2022-02-04,2022-01-01,467.0,372,1,1
2022-03-04,2022-02-01,678.0,375,1,1
2022-04-01,2022-03-01,431.0,425,1,1
2022-05-06,2022-04-01,428.0,457,1,1
2022-06-03,2022-05-01,390.0,358,1,1
2022-07-08,2022-06-01,372.0,380,1,1
2022-08-05,2022-07-01,528.0,268,1,1
2022-09-02,2022-08-01,315.0,132,1,1
2022-10-07,2022-09-01,263.0,208,1,1
2022-11-04,2022-10-01,261.0,239,1,1
2022-12-02,2022-11-01,263.0,127,1,1
2023-01-06,2022-12-01,223.0,235,1,1
2023-02-03,2023-01-01,517.0,106,1,1
2023-03-10,2023-02-01,311.0,242,1,1
2023-04-07,2023-03-01,236.0,145,1,1
2023-05-05,2023-04-01,253.0,296,1,1
2023-06-02,2023-05-01,339.0,278,1,1
2023-07-07,2023-06-01,209.0,497,1,1
2023-08-04,2023-07-01,187.0,324,1,1
2023-09-01,2023-08-01,187.0,177,1,1
2023-10-06,2023-09-01,336.0,89,1,1
2023-11-03,2023-10-01,150.0,113,1,1
2023-12-08,2023-11-01,199.0,103,1,1
2024-01-05,2023-12-01,216.0,164,1,1
2024-02-02,2024-01-01,353.0,107,1,1
2024-03-08,2024-02-01,275.0,140,1,1
2024-04-05,2024-03-01,303.0,184,1,1
2024-05-03,2024-04-01,175.0,192,1,1
2024-06-07,2024-05-01,272.0,152,1,1
2024-07-05,2024-06-01,206.0,150,1,1
2024-08-02,2024-07-01,114.0,122,1,1
2024-09-06,2024-08-01,142.0,99,1,1
2024-10-04,2024-09-01,254.0,143,1,1
2024-11-01,2024-10-01,12.0,233,1,1
2024-12-06,2024-11-01,227.0,146,1,1
2025-01-10,2024-12-01,256.0,122,1,1
2025-02-07,2025-01-01,143.0,183,1,1
2025-03-07,2025-02-01,151.0,77,1,1
2025-04-04,2025-03-01,228.0,155,1,1
2025-05-02,2025-04-01,177.0,62,1,1
2025-06-06,2025-05-01,139.0,37,1,1
2025-07-03,2025-06-01,147.0,-33,1,-1
2025-08-01,2025-07-01,73.0,104,1,1
2025-09-05,2025-08-01,22.0,54,1,1
2025-11-20,2025-09-01,119.0,-32,1,-1
2025-12-16,2025-10-01,-105.0,42,-1,1
2025-12-16,2025-11-01,64.0,-32,1,-1
2026-01-09,2025-12-01,50.0,41,1,1
2026-02-11,2026-01-01,130.0,22,1,1
2026-03-06,2026-02-01,-92.0,63,-1,1
2026-04-03,2026-03-01,178.0,62,1,1
2026-05-08,2026-04-01,115.0,109,1,1
2026-06-05,2026-05-01,172.0,122,1,1
2026-07-02,2026-06-01,57.0,98,1,1
