series_id,date,realtime_start,realtime_end,value,value_float
ADPMNUSNERSA,2026-01-01,2026-08-05,,132270000.0,132270000.0
ADPMNUSNERSA,2026-02-01,2026-08-05,,132336000.0,132336000.0
ADPMNUSNERSA,2026-03-01,2026-08-05,,132397000.0,132397000.0
ADPMNUSNERSA,2026-04-01,2026-08-05,,132502000.0,132502000.0
ADPMNUSNERSA,2026-05-01,2026-08-05,,132624000.0,132624000.0
ADPMNUSNERSA,2026-06-01,2026-08-05,,132719000.0,132719000.0
ADPMNUSNERSA,2026-07-01,2026-08-05,,132763000.0,132763000.0
ICSA,2026-01-03,2026-07-30,,207000,207000.0
ICSA,2026-01-10,2026-07-30,,201000,201000.0
ICSA,2026-01-17,2026-07-30,,210000,210000.0
ICSA,2026-01-24,2026-07-30,,211000,211000.0
ICSA,2026-01-31,2026-07-30,,230000,230000.0
ICSA,2026-02-07,2026-07-30,,230000,230000.0
ICSA,2026-02-14,2026-07-30,,208000,208000.0
ICSA,2026-02-21,2026-07-30,,211000,211000.0
ICSA,2026-02-28,2026-07-30,,214000,214000.0
ICSA,2026-03-07,2026-07-30,,213000,213000.0
ICSA,2026-03-14,2026-07-30,,205000,205000.0
ICSA,2026-03-21,2026-07-30,,211000,211000.0
ICSA,2026-03-28,2026-07-30,,203000,203000.0
ICSA,2026-04-04,2026-07-30,,218000,218000.0
ICSA,2026-04-11,2026-07-30,,208000,208000.0
ICSA,2026-04-18,2026-07-30,,215000,215000.0
ICSA,2026-04-25,2026-07-30,,190000,190000.0
ICSA,2026-05-02,2026-07-30,,199000,199000.0
ICSA,2026-05-09,2026-07-30,,212000,212000.0
ICSA,2026-05-16,2026-07-30,,210000,210000.0
ICSA,2026-05-23,2026-07-30,,212000,212000.0
ICSA,2026-05-30,2026-07-30,,225000,225000.0
ICSA,2026-06-06,2026-07-30,,230000,230000.0
ICSA,2026-06-13,2026-07-30,,227000,227000.0
ICSA,2026-06-20,2026-07-30,,216000,216000.0
ICSA,2026-06-27,2026-07-30,,217000,217000.0
ICSA,2026-07-04,2026-07-30,,217000,217000.0
ICSA,2026-07-11,2026-07-30,,209000,209000.0
ICSA,2026-07-18,2026-07-30,,188000,188000.0
ICSA,2026-07-25,2026-07-30,,197000,197000.0
PAYEMS,2026-01-01,2026-07-02,,158592,158592.0
PAYEMS,2026-02-01,2026-07-02,,158436,158436.0
PAYEMS,2026-03-01,2026-07-02,,158650,158650.0
PAYEMS,2026-04-01,2026-07-02,,158798,158798.0
PAYEMS,2026-05-01,2026-07-02,,158927,158927.0
PAYEMS,2026-06-01,2026-07-02,,158984,158984.0
