series_id,date,realtime_start,realtime_end,level,previous_date,previous_level,monthly_change_native_units,monthly_change_thousands
PAYEMS,2026-01-01,2026-02-11,,158627.0,2025-12-01,158497.0,130.0,130.0
PAYEMS,2026-01-01,2026-03-06,,158558.0,2025-12-01,158432.0,126.0,126.0
PAYEMS,2026-02-01,2026-03-06,,158466.0,2026-01-01,158558.0,-92.0,-92.0
PAYEMS,2026-01-01,2026-04-03,,158592.0,2025-12-01,158432.0,160.0,160.0
PAYEMS,2026-02-01,2026-04-03,,158459.0,2026-01-01,158592.0,-133.0,-133.0
PAYEMS,2026-03-01,2026-04-03,,158637.0,2026-02-01,158459.0,178.0,178.0
PAYEMS,2026-01-01,2026-05-08,,158592.0,2025-12-01,158432.0,160.0,160.0
PAYEMS,2026-02-01,2026-05-08,,158436.0,2026-01-01,158592.0,-156.0,-156.0
PAYEMS,2026-03-01,2026-05-08,,158621.0,2026-02-01,158436.0,185.0,185.0
PAYEMS,2026-04-01,2026-05-08,,158736.0,2026-03-01,158621.0,115.0,115.0
PAYEMS,2026-01-01,2026-06-05,,158592.0,2025-12-01,158432.0,160.0,160.0
PAYEMS,2026-02-01,2026-06-05,,158436.0,2026-01-01,158592.0,-156.0,-156.0
PAYEMS,2026-03-01,2026-06-05,,158650.0,2026-02-01,158436.0,214.0,214.0
PAYEMS,2026-04-01,2026-06-05,,158829.0,2026-03-01,158650.0,179.0,179.0
PAYEMS,2026-05-01,2026-06-05,,159001.0,2026-04-01,158829.0,172.0,172.0
PAYEMS,2026-01-01,2026-07-02,,158592.0,2025-12-01,158432.0,160.0,160.0
PAYEMS,2026-02-01,2026-07-02,,158436.0,2026-01-01,158592.0,-156.0,-156.0
PAYEMS,2026-03-01,2026-07-02,,158650.0,2026-02-01,158436.0,214.0,214.0
PAYEMS,2026-04-01,2026-07-02,,158798.0,2026-03-01,158650.0,148.0,148.0
PAYEMS,2026-05-01,2026-07-02,,158927.0,2026-04-01,158798.0,129.0,129.0
PAYEMS,2026-06-01,2026-07-02,,158984.0,2026-05-01,158927.0,57.0,57.0
ADPMNUSNERSA,2026-01-01,2026-02-04,,132281000.0,2025-12-01,132259000.0,22000.0,22.0
ADPMNUSNERSA,2026-01-01,2026-03-04,,132270000.0,2025-12-01,132259000.0,11000.0,11.0
ADPMNUSNERSA,2026-02-01,2026-03-04,,132333000.0,2026-01-01,132270000.0,63000.0,63.0
ADPMNUSNERSA,2026-01-01,2026-04-01,,132270000.0,2025-12-01,132259000.0,11000.0,11.0
ADPMNUSNERSA,2026-02-01,2026-04-01,,132336000.0,2026-01-01,132270000.0,66000.0,66.0
ADPMNUSNERSA,2026-03-01,2026-04-01,,132398000.0,2026-02-01,132336000.0,62000.0,62.0
ADPMNUSNERSA,2026-01-01,2026-05-06,,132270000.0,2025-12-01,132259000.0,11000.0,11.0
ADPMNUSNERSA,2026-02-01,2026-05-06,,132336000.0,2026-01-01,132270000.0,66000.0,66.0
ADPMNUSNERSA,2026-03-01,2026-05-06,,132397000.0,2026-02-01,132336000.0,61000.0,61.0
ADPMNUSNERSA,2026-04-01,2026-05-06,,132506000.0,2026-03-01,132397000.0,109000.0,109.0
ADPMNUSNERSA,2026-01-01,2026-06-03,,132270000.0,2025-12-01,132259000.0,11000.0,11.0
ADPMNUSNERSA,2026-02-01,2026-06-03,,132336000.0,2026-01-01,132270000.0,66000.0,66.0
ADPMNUSNERSA,2026-03-01,2026-06-03,,132397000.0,2026-02-01,132336000.0,61000.0,61.0
ADPMNUSNERSA,2026-04-01,2026-06-03,,132502000.0,2026-03-01,132397000.0,105000.0,105.0
ADPMNUSNERSA,2026-05-01,2026-06-03,,132624000.0,2026-04-01,132502000.0,122000.0,122.0
ADPMNUSNERSA,2026-01-01,2026-07-01,,132270000.0,2025-12-01,132259000.0,11000.0,11.0
ADPMNUSNERSA,2026-02-01,2026-07-01,,132336000.0,2026-01-01,132270000.0,66000.0,66.0
ADPMNUSNERSA,2026-03-01,2026-07-01,,132397000.0,2026-02-01,132336000.0,61000.0,61.0
ADPMNUSNERSA,2026-04-01,2026-07-01,,132502000.0,2026-03-01,132397000.0,105000.0,105.0
ADPMNUSNERSA,2026-05-01,2026-07-01,,132624000.0,2026-04-01,132502000.0,122000.0,122.0
ADPMNUSNERSA,2026-06-01,2026-07-01,,132722000.0,2026-05-01,132624000.0,98000.0,98.0
ADPMNUSNERSA,2026-01-01,2026-08-05,,132270000.0,2025-12-01,132259000.0,11000.0,11.0
ADPMNUSNERSA,2026-02-01,2026-08-05,,132336000.0,2026-01-01,132270000.0,66000.0,66.0
ADPMNUSNERSA,2026-03-01,2026-08-05,,132397000.0,2026-02-01,132336000.0,61000.0,61.0
ADPMNUSNERSA,2026-04-01,2026-08-05,,132502000.0,2026-03-01,132397000.0,105000.0,105.0
ADPMNUSNERSA,2026-05-01,2026-08-05,,132624000.0,2026-04-01,132502000.0,122000.0,122.0
ADPMNUSNERSA,2026-06-01,2026-08-05,,132719000.0,2026-05-01,132624000.0,95000.0,95.0
ADPMNUSNERSA,2026-07-01,2026-08-05,,132763000.0,2026-06-01,132719000.0,44000.0,44.0
