series_id,date,realtime_start,realtime_end,value,value_float
ICSA,2026-01-03,2026-01-08,2026-01-14,208000,208000.0
ICSA,2026-01-10,2026-01-15,2026-01-21,198000,198000.0
ICSA,2026-01-17,2026-01-22,2026-01-28,200000,200000.0
ICSA,2026-01-24,2026-01-29,2026-03-18,209000,209000.0
ICSA,2026-01-31,2026-02-05,2026-02-11,231000,231000.0
ICSA,2026-02-07,2026-02-12,2026-02-18,227000,227000.0
ICSA,2026-02-14,2026-02-19,2026-02-25,206000,206000.0
ICSA,2026-02-21,2026-02-26,2026-03-04,212000,212000.0
ICSA,2026-02-28,2026-03-05,2026-03-11,213000,213000.0
ICSA,2026-03-07,2026-03-12,9999-12-31,213000,213000.0
ICSA,2026-03-14,2026-03-19,9999-12-31,205000,205000.0
ICSA,2026-03-21,2026-03-26,2026-04-01,210000,210000.0
ICSA,2026-03-28,2026-04-02,2026-04-08,202000,202000.0
ICSA,2026-04-04,2026-04-09,2026-04-15,219000,219000.0
ICSA,2026-04-11,2026-04-16,2026-04-22,207000,207000.0
ICSA,2026-04-18,2026-04-23,2026-04-29,214000,214000.0
ICSA,2026-04-25,2026-04-30,2026-05-06,189000,189000.0
ICSA,2026-05-02,2026-05-07,2026-05-13,200000,200000.0
ICSA,2026-05-09,2026-05-14,2026-05-20,211000,211000.0
ICSA,2026-05-16,2026-05-21,2026-05-27,209000,209000.0
ICSA,2026-05-23,2026-05-28,2026-06-03,215000,215000.0
ICSA,2026-05-30,2026-06-04,9999-12-31,225000,225000.0
ICSA,2026-06-06,2026-06-11,2026-06-17,229000,229000.0
ICSA,2026-06-13,2026-06-18,2026-06-24,226000,226000.0
ICSA,2026-06-20,2026-06-25,2026-07-01,215000,215000.0
ICSA,2026-06-27,2026-07-02,2026-07-08,215000,215000.0
ICSA,2026-07-04,2026-07-09,2026-07-15,215000,215000.0
ICSA,2026-07-11,2026-07-16,2026-07-22,208000,208000.0
ICSA,2026-07-18,2026-07-23,2026-07-29,187000,187000.0
ICSA,2026-07-25,2026-07-30,9999-12-31,197000,197000.0
