series_id,date,event_type,revision_vintage_date,previous_vintage_date,previous_monthly_change_native_units,revised_monthly_change_native_units,revision_delta_native_units,previous_monthly_change_thousands,revised_monthly_change_thousands,revision_delta_thousands
ADPMNUSNERSA,2026-01-01,initial_or_first_available_in_window,2026-02-04,,,22000.0,,,22.0,
ADPMNUSNERSA,2026-01-01,revision,2026-03-04,2026-02-04,22000.0,11000.0,-11000.0,22.0,11.0,-11.0
ADPMNUSNERSA,2026-02-01,initial_or_first_available_in_window,2026-03-04,,,63000.0,,,63.0,
ADPMNUSNERSA,2026-02-01,revision,2026-04-01,2026-03-04,63000.0,66000.0,3000.0,63.0,66.0,3.0
ADPMNUSNERSA,2026-03-01,initial_or_first_available_in_window,2026-04-01,,,62000.0,,,62.0,
ADPMNUSNERSA,2026-03-01,revision,2026-05-06,2026-04-01,62000.0,61000.0,-1000.0,62.0,61.0,-1.0
ADPMNUSNERSA,2026-04-01,initial_or_first_available_in_window,2026-05-06,,,109000.0,,,109.0,
ADPMNUSNERSA,2026-04-01,revision,2026-06-03,2026-05-06,109000.0,105000.0,-4000.0,109.0,105.0,-4.0
ADPMNUSNERSA,2026-05-01,initial_or_first_available_in_window,2026-06-03,,,122000.0,,,122.0,
ADPMNUSNERSA,2026-06-01,initial_or_first_available_in_window,2026-07-01,,,98000.0,,,98.0,
ADPMNUSNERSA,2026-06-01,revision,2026-08-05,2026-07-01,98000.0,95000.0,-3000.0,98.0,95.0,-3.0
ADPMNUSNERSA,2026-07-01,initial_or_first_available_in_window,2026-08-05,,,44000.0,,,44.0,
PAYEMS,2026-01-01,initial_or_first_available_in_window,2026-02-11,,,130.0,,,130.0,
PAYEMS,2026-01-01,revision,2026-03-06,2026-02-11,130.0,126.0,-4.0,130.0,126.0,-4.0
PAYEMS,2026-01-01,revision,2026-04-03,2026-03-06,126.0,160.0,34.0,126.0,160.0,34.0
PAYEMS,2026-02-01,initial_or_first_available_in_window,2026-03-06,,,-92.0,,,-92.0,
PAYEMS,2026-02-01,revision,2026-04-03,2026-03-06,-92.0,-133.0,-41.0,-92.0,-133.0,-41.0
PAYEMS,2026-02-01,revision,2026-05-08,2026-04-03,-133.0,-156.0,-23.0,-133.0,-156.0,-23.0
PAYEMS,2026-03-01,initial_or_first_available_in_window,2026-04-03,,,178.0,,,178.0,
PAYEMS,2026-03-01,revision,2026-05-08,2026-04-03,178.0,185.0,7.0,178.0,185.0,7.0
PAYEMS,2026-03-01,revision,2026-06-05,2026-05-08,185.0,214.0,29.0,185.0,214.0,29.0
PAYEMS,2026-04-01,initial_or_first_available_in_window,2026-05-08,,,115.0,,,115.0,
PAYEMS,2026-04-01,revision,2026-06-05,2026-05-08,115.0,179.0,64.0,115.0,179.0,64.0
PAYEMS,2026-04-01,revision,2026-07-02,2026-06-05,179.0,148.0,-31.0,179.0,148.0,-31.0
PAYEMS,2026-05-01,initial_or_first_available_in_window,2026-06-05,,,172.0,,,172.0,
PAYEMS,2026-05-01,revision,2026-07-02,2026-06-05,172.0,129.0,-43.0,172.0,129.0,-43.0
PAYEMS,2026-06-01,initial_or_first_available_in_window,2026-07-02,,,57.0,,,57.0,
