series_id,date,realtime_start,realtime_end,value,value_float
PAYEMS,2026-01-01,2026-02-11,,158627,158627.0
PAYEMS,2026-01-01,2026-03-06,,158558,158558.0
PAYEMS,2026-01-01,2026-04-03,,158592,158592.0
PAYEMS,2026-01-01,2026-05-08,,158592,158592.0
PAYEMS,2026-01-01,2026-06-05,,158592,158592.0
PAYEMS,2026-01-01,2026-07-02,,158592,158592.0
PAYEMS,2026-02-01,2026-03-06,,158466,158466.0
PAYEMS,2026-02-01,2026-04-03,,158459,158459.0
PAYEMS,2026-02-01,2026-05-08,,158436,158436.0
PAYEMS,2026-02-01,2026-06-05,,158436,158436.0
PAYEMS,2026-02-01,2026-07-02,,158436,158436.0
PAYEMS,2026-03-01,2026-04-03,,158637,158637.0
PAYEMS,2026-03-01,2026-05-08,,158621,158621.0
PAYEMS,2026-03-01,2026-06-05,,158650,158650.0
PAYEMS,2026-03-01,2026-07-02,,158650,158650.0
PAYEMS,2026-04-01,2026-05-08,,158736,158736.0
PAYEMS,2026-04-01,2026-06-05,,158829,158829.0
PAYEMS,2026-04-01,2026-07-02,,158798,158798.0
PAYEMS,2026-05-01,2026-06-05,,159001,159001.0
PAYEMS,2026-05-01,2026-07-02,,158927,158927.0
PAYEMS,2026-06-01,2026-07-02,,158984,158984.0
