series_id,date,event_type,revision_vintage_date,previous_vintage_date,previous_value,revised_value,revision_delta
ADPMNUSNERSA,2026-01-01,initial_or_first_available_in_window,2026-02-04,,,132281000.0,
ADPMNUSNERSA,2026-01-01,revision,2026-03-04,2026-02-04,132281000.0,132270000.0,-11000.0
ADPMNUSNERSA,2026-02-01,initial_or_first_available_in_window,2026-03-04,,,132333000.0,
ADPMNUSNERSA,2026-02-01,revision,2026-04-01,2026-03-04,132333000.0,132336000.0,3000.0
ADPMNUSNERSA,2026-03-01,initial_or_first_available_in_window,2026-04-01,,,132398000.0,
ADPMNUSNERSA,2026-03-01,revision,2026-05-06,2026-04-01,132398000.0,132397000.0,-1000.0
ADPMNUSNERSA,2026-04-01,initial_or_first_available_in_window,2026-05-06,,,132506000.0,
ADPMNUSNERSA,2026-04-01,revision,2026-06-03,2026-05-06,132506000.0,132502000.0,-4000.0
ADPMNUSNERSA,2026-05-01,initial_or_first_available_in_window,2026-06-03,,,132624000.0,
ADPMNUSNERSA,2026-06-01,initial_or_first_available_in_window,2026-07-01,,,132722000.0,
ADPMNUSNERSA,2026-06-01,revision,2026-08-05,2026-07-01,132722000.0,132719000.0,-3000.0
ADPMNUSNERSA,2026-07-01,initial_or_first_available_in_window,2026-08-05,,,132763000.0,
ICSA,2026-01-03,initial_or_first_available_in_window,2026-01-08,,,208000,
ICSA,2026-01-03,revision,2026-01-15,2026-01-08,208000,207000,-1000.0
ICSA,2026-01-10,initial_or_first_available_in_window,2026-01-15,,,198000,
ICSA,2026-01-10,revision,2026-01-22,2026-01-15,198000,199000,1000.0
ICSA,2026-01-10,revision,2026-03-19,2026-03-12,199000,201000,2000.0
ICSA,2026-01-17,initial_or_first_available_in_window,2026-01-22,,,200000,
ICSA,2026-01-17,revision,2026-01-29,2026-01-22,200000,210000,10000.0
ICSA,2026-01-24,initial_or_first_available_in_window,2026-01-29,,,209000,
ICSA,2026-01-24,revision,2026-03-19,2026-03-12,209000,211000,2000.0
ICSA,2026-01-31,initial_or_first_available_in_window,2026-02-05,,,231000,
ICSA,2026-01-31,revision,2026-02-12,2026-02-05,231000,232000,1000.0
ICSA,2026-01-31,revision,2026-03-19,2026-03-12,232000,230000,-2000.0
ICSA,2026-02-07,initial_or_first_available_in_window,2026-02-12,,,227000,
ICSA,2026-02-07,revision,2026-02-19,2026-02-12,227000,229000,2000.0
ICSA,2026-02-07,revision,2026-03-19,2026-03-12,229000,230000,1000.0
ICSA,2026-02-14,initial_or_first_available_in_window,2026-02-19,,,206000,
