series_id,vintage_date
PAYEMS,2026-01-09
PAYEMS,2026-02-11
PAYEMS,2026-03-06
PAYEMS,2026-04-03
PAYEMS,2026-05-08
PAYEMS,2026-06-05
PAYEMS,2026-07-02
ADPMNUSNERSA,2026-01-07
ADPMNUSNERSA,2026-02-04
ADPMNUSNERSA,2026-03-04
ADPMNUSNERSA,2026-04-01
ADPMNUSNERSA,2026-05-06
ADPMNUSNERSA,2026-06-03
ADPMNUSNERSA,2026-07-01
ADPMNUSNERSA,2026-08-05
ICSA,2026-01-08
ICSA,2026-01-15
ICSA,2026-01-22
ICSA,2026-01-29
ICSA,2026-02-05
ICSA,2026-02-12
ICSA,2026-02-19
ICSA,2026-02-26
ICSA,2026-03-05
ICSA,2026-03-12
ICSA,2026-03-19
ICSA,2026-03-26
ICSA,2026-04-02
ICSA,2026-04-09
ICSA,2026-04-16
ICSA,2026-04-23
ICSA,2026-04-30
ICSA,2026-05-07
ICSA,2026-05-14
ICSA,2026-05-21
ICSA,2026-05-28
ICSA,2026-06-04
ICSA,2026-06-11
ICSA,2026-06-18
ICSA,2026-06-25
ICSA,2026-07-02
ICSA,2026-07-09
ICSA,2026-07-16
ICSA,2026-07-23
ICSA,2026-07-30
