indicator,release_date,target_date,published_value
ADP_monthly_change_thousands,2022-08-31,2020-01-01,1662.0
ADP_monthly_change_thousands,2022-08-31,2020-02-01,153.0
ADP_monthly_change_thousands,2022-08-31,2020-03-01,-436.0
ADP_monthly_change_thousands,2022-08-31,2020-04-01,-6657.0
ADP_monthly_change_thousands,2022-08-31,2020-05-01,-196.0
ADP_monthly_change_thousands,2022-08-31,2020-06-01,-39.0
ADP_monthly_change_thousands,2022-08-31,2020-07-01,-283.0
ADP_monthly_change_thousands,2022-08-31,2020-08-01,229.0
ADP_monthly_change_thousands,2022-08-31,2020-09-01,142.0
ADP_monthly_change_thousands,2022-08-31,2020-10-01,234.0
ADP_monthly_change_thousands,2022-08-31,2020-11-01,129.0
ADP_monthly_change_thousands,2022-08-31,2020-12-01,-58.0
ADP_monthly_change_thousands,2022-08-31,2021-01-01,-109.0
ADP_monthly_change_thousands,2022-08-31,2021-02-01,341.0
ADP_monthly_change_thousands,2022-08-31,2021-03-01,297.0
ADP_monthly_change_thousands,2022-08-31,2021-04-01,218.0
ADP_monthly_change_thousands,2022-08-31,2021-05-01,488.0
ADP_monthly_change_thousands,2022-08-31,2021-06-01,292.0
ADP_monthly_change_thousands,2022-08-31,2021-07-01,618.0
ADP_monthly_change_thousands,2022-08-31,2021-08-01,633.0
ADP_monthly_change_thousands,2022-08-31,2021-09-01,336.0
ADP_monthly_change_thousands,2022-08-31,2021-10-01,306.0
ADP_monthly_change_thousands,2022-08-31,2021-11-01,500.0
ADP_monthly_change_thousands,2022-08-31,2021-12-01,366.0
ADP_monthly_change_thousands,2022-08-31,2022-01-01,372.0
ADP_monthly_change_thousands,2022-08-31,2022-02-01,375.0
ADP_monthly_change_thousands,2022-08-31,2022-03-01,425.0
ADP_monthly_change_thousands,2022-08-31,2022-04-01,457.0
ADP_monthly_change_thousands,2022-08-31,2022-05-01,358.0
ADP_monthly_change_thousands,2022-08-31,2022-06-01,380.0
