indicator,release_date,target_date,published_value,revised_value,change
ADP_monthly_change_thousands,2022-10-05,2022-08-01,132.0,185.0,53.0
ADP_monthly_change_thousands,2022-11-02,2022-08-01,185.0,132.0,-53.0
ADP_monthly_change_thousands,2022-11-02,2022-09-01,208.0,192.0,-16.0
ADP_monthly_change_thousands,2023-01-05,2022-11-01,127.0,182.0,55.0
ADP_monthly_change_thousands,2023-02-01,2020-01-01,1662.0,-167.0,-1829.0
ADP_monthly_change_thousands,2023-02-01,2020-02-01,153.0,-122.0,-275.0
ADP_monthly_change_thousands,2023-02-01,2020-03-01,-436.0,-74.0,362.0
ADP_monthly_change_thousands,2023-02-01,2020-04-01,-6657.0,-6845.0,-188.0
ADP_monthly_change_thousands,2023-02-01,2020-05-01,-196.0,-716.0,-520.0
ADP_monthly_change_thousands,2023-02-01,2020-06-01,-39.0,2.0,41.0
ADP_monthly_change_thousands,2023-02-01,2020-07-01,-283.0,-250.0,33.0
ADP_monthly_change_thousands,2023-02-01,2020-08-01,229.0,-75.0,-304.0
ADP_monthly_change_thousands,2023-02-01,2020-09-01,142.0,299.0,157.0
ADP_monthly_change_thousands,2023-02-01,2020-10-01,234.0,357.0,123.0
ADP_monthly_change_thousands,2023-02-01,2020-11-01,129.0,180.0,51.0
ADP_monthly_change_thousands,2023-02-01,2020-12-01,-58.0,227.0,285.0
ADP_monthly_change_thousands,2023-02-01,2021-01-01,-109.0,-69.0,40.0
ADP_monthly_change_thousands,2023-02-01,2021-02-01,341.0,114.0,-227.0
ADP_monthly_change_thousands,2023-02-01,2021-03-01,297.0,229.0,-68.0
ADP_monthly_change_thousands,2023-02-01,2021-04-01,218.0,301.0,83.0
ADP_monthly_change_thousands,2023-02-01,2021-05-01,488.0,320.0,-168.0
ADP_monthly_change_thousands,2023-02-01,2021-06-01,292.0,656.0,364.0
ADP_monthly_change_thousands,2023-02-01,2021-07-01,618.0,938.0,320.0
ADP_monthly_change_thousands,2023-02-01,2021-08-01,633.0,607.0,-26.0
ADP_monthly_change_thousands,2023-02-01,2021-09-01,336.0,912.0,576.0
ADP_monthly_change_thousands,2023-02-01,2021-10-01,306.0,694.0,388.0
ADP_monthly_change_thousands,2023-02-01,2021-11-01,500.0,690.0,190.0
ADP_monthly_change_thousands,2023-02-01,2021-12-01,366.0,827.0,461.0
ADP_monthly_change_thousands,2023-02-01,2022-01-01,372.0,353.0,-19.0
ADP_monthly_change_thousands,2023-02-01,2022-02-01,375.0,551.0,176.0
ADP_monthly_change_thousands,2023-02-01,2022-03-01,425.0,287.0,-138.0
ADP_monthly_change_thousands,2023-02-01,2022-04-01,457.0,198.0,-259.0
ADP_monthly_change_thousands,2023-02-01,2022-05-01,358.0,188.0,-170.0
ADP_monthly_change_thousands,2023-02-01,2022-06-01,380.0,465.0,85.0
ADP_monthly_change_thousands,2023-02-01,2022-07-01,268.0,458.0,190.0
ADP_monthly_change_thousands,2023-02-01,2022-08-01,132.0,266.0,134.0
ADP_monthly_change_thousands,2023-02-01,2022-09-01,192.0,262.0,70.0
