target_month,year,payems_initial_change_thousands,adp_initial_change_thousands,icsa_initial_avg_count,icsa_week_count
2022-09-01,2022,263.0,208.0,210250.0,4
2022-10-01,2022,261.0,239.0,219000.0,5
2022-11-01,2022,263.0,127.0,228000.0,4
2022-12-01,2022,223.0,235.0,217200.0,5
2023-01-01,2023,517.0,106.0,191000.0,4
2023-02-01,2023,311.0,242.0,193000.0,4
2023-03-01,2023,236.0,145.0,198000.0,4
2023-04-01,2023,253.0,296.0,236800.0,5
2023-05-01,2023,339.0,278.0,241750.0,4
2023-06-01,2023,209.0,497.0,256500.0,4
2023-07-01,2023,187.0,324.0,232200.0,5
2023-08-01,2023,187.0,177.0,236250.0,4
2023-09-01,2023,336.0,89.0,209600.0,5
2023-10-01,2023,150.0,113.0,208500.0,4
2023-11-01,2023,199.0,103.0,218750.0,4
2023-12-01,2023,216.0,164.0,209400.0,5
2024-01-01,2024,353.0,107.0,206750.0,4
2024-02-01,2024,275.0,140.0,211500.0,4
2024-03-01,2024,303.0,184.0,213400.0,5
2024-04-01,2024,175.0,192.0,209500.0,4
2024-05-01,2024,272.0,152.0,221750.0,4
2024-06-01,2024,206.0,150.0,236000.0,5
2024-07-01,2024,114.0,122.0,237250.0,4
2024-08-01,2024,142.0,99.0,230000.0,5
2024-09-01,2024,254.0,143.0,223000.0,4
2024-10-01,2024,12.0,233.0,235500.0,4
2024-11-01,2024,227.0,146.0,217600.0,5
2024-12-01,2024,256.0,122.0,223000.0,4
2025-01-01,2025,143.0,183.0,212000.0,4
2025-02-01,2025,151.0,77.0,223250.0,4
2025-03-01,2025,228.0,155.0,221400.0,5
2025-04-01,2025,177.0,62.0,225250.0,4
2025-05-01,2025,139.0,37.0,234200.0,5
2025-06-01,2025,147.0,-33.0,240500.0,4
2025-07-01,2025,73.0,104.0,220750.0,4
2025-08-01,2025,22.0,54.0,230200.0,5
2025-09-01,2025,119.0,-32.0,234000.0,4
2025-10-01,2025,-105.0,42.0,226750.0,4
2025-11-01,2025,64.0,-32.0,216800.0,5
2025-12-01,2025,50.0,41.0,218250.0,4
2026-01-01,2026,130.0,22.0,209200.0,5
2026-02-01,2026,-92.0,63.0,214500.0,4
2026-03-01,2026,178.0,62.0,207500.0,4
2026-04-01,2026,115.0,109.0,207250.0,4
2026-05-01,2026,172.0,122.0,212000.0,5
2026-06-01,2026,57.0,98.0,221250.0,4
