target_date,USGOVT_initial_change_k,CES9091000001_initial_change_k,CES9092000001_initial_change_k,CES9093000001_initial_change_k,govt_lag1_k,govt_lag2_k,govt_lag3_k,govt_lag3_avg_k
2020-01-01,19.0,12.0,-13.0,20.0,,,,
2020-02-01,45.0,8.0,18.0,19.0,19.0,,,
2020-03-01,12.0,18.0,-14.0,8.0,45.0,19.0,,
2020-04-01,-980.0,1.0,-180.0,-801.0,12.0,45.0,19.0,25.333333333333332
2020-05-01,-585.0,-14.0,-84.0,-487.0,-980.0,12.0,45.0,-307.6666666666667
2020-06-01,33.0,1.0,-25.0,57.0,-585.0,-980.0,12.0,-517.6666666666666
2020-07-01,301.0,27.0,33.0,241.0,33.0,-585.0,-980.0,-510.6666666666667
2020-08-01,344.0,251.0,-2.0,95.0,301.0,33.0,-585.0,-83.66666666666667
2020-09-01,-216.0,-34.0,-48.0,-134.0,344.0,301.0,33.0,226.0
2020-10-01,-268.0,-138.0,-65.0,-65.0,-216.0,344.0,301.0,143.0
2020-11-01,-99.0,-86.0,0.0,-13.0,-268.0,-216.0,344.0,-46.666666666666664
2020-12-01,-45.0,6.0,-19.0,-32.0,-99.0,-268.0,-216.0,-194.33333333333334
2021-01-01,43.0,-24.0,31.0,36.0,-45.0,-99.0,-268.0,-137.33333333333334
2021-02-01,-86.0,-3.0,-39.0,-44.0,43.0,-45.0,-99.0,-33.666666666666664
2021-03-01,136.0,7.0,46.0,83.0,-86.0,43.0,-45.0,-29.333333333333332
2021-04-01,48.0,9.0,7.0,32.0,136.0,-86.0,43.0,31.0
2021-05-01,67.0,-11.0,45.0,33.0,48.0,136.0,-86.0,32.666666666666664
2021-06-01,188.0,-5.0,69.0,124.0,67.0,48.0,136.0,83.66666666666667
2021-07-01,240.0,18.0,-8.0,230.0,188.0,67.0,48.0,101.0
2021-08-01,-8.0,3.0,-25.0,14.0,240.0,188.0,67.0,165.0
2021-09-01,-123.0,0.0,-22.0,-101.0,-8.0,240.0,188.0,140.0
2021-10-01,-73.0,-3.0,-25.0,-45.0,-123.0,-8.0,240.0,36.333333333333336
2021-11-01,-25.0,2.0,-9.0,-18.0,-73.0,-123.0,-8.0,-68.0
2021-12-01,-12.0,-2.0,0.0,-10.0,-25.0,-73.0,-123.0,-73.66666666666667
2022-01-01,23.0,-1.0,-9.0,33.0,-12.0,-25.0,-73.0,-36.666666666666664
2022-02-01,24.0,0.0,3.0,21.0,23.0,-12.0,-25.0,-4.666666666666667
2022-03-01,5.0,-1.0,-14.0,20.0,24.0,23.0,-12.0,11.666666666666666
2022-04-01,22.0,-6.0,7.0,21.0,5.0,24.0,23.0,17.333333333333332
2022-05-01,57.0,5.0,36.0,16.0,22.0,5.0,24.0,17.0
2022-06-01,-9.0,-13.0,-1.0,5.0,57.0,22.0,5.0,28.0
2022-07-01,57.0,10.0,10.0,37.0,-9.0,57.0,22.0,23.333333333333332
2022-08-01,7.0,-2.0,3.0,6.0,57.0,-9.0,57.0,35.0
2022-09-01,-25.0,2.0,-16.0,-11.0,7.0,57.0,-9.0,18.333333333333332
2022-10-01,28.0,6.0,-7.0,29.0,-25.0,7.0,57.0,13.0
2022-11-01,42.0,-1.0,11.0,32.0,28.0,-25.0,7.0,3.3333333333333335
2022-12-01,3.0,1.0,-19.0,21.0,42.0,28.0,-25.0,15.0
2023-01-01,74.0,5.0,39.0,30.0,3.0,42.0,28.0,24.333333333333332
2023-02-01,46.0,7.0,2.0,37.0,74.0,3.0,42.0,39.666666666666664
2023-03-01,47.0,8.0,13.0,26.0,46.0,74.0,3.0,41.0
2023-04-01,23.0,3.0,3.0,17.0,47.0,46.0,74.0,55.666666666666664
2023-05-01,56.0,7.0,19.0,30.0,23.0,47.0,46.0,38.666666666666664
