target_date,USGOVT_latest_change_k,CES9091000001_latest_change_k,CES9092000001_latest_change_k,CES9093000001_latest_change_k,govt_lag1_k,govt_lag2_k,govt_lag3_k,govt_lag3_avg_k
2020-01-01,55.0,18.0,11.0,26.0,,,,
2020-02-01,76.0,2.0,46.0,28.0,55.0,,,
2020-03-01,-30.0,19.0,-45.0,-4.0,76.0,55.0,,
2020-04-01,-918.0,-1.0,-150.0,-767.0,-30.0,76.0,55.0,33.666666666666664
2020-05-01,-516.0,1.0,-54.0,-463.0,-918.0,-30.0,76.0,-290.6666666666667
2020-06-01,19.0,7.0,10.0,2.0,-516.0,-918.0,-30.0,-488.0
2020-07-01,102.0,25.0,11.0,66.0,19.0,-516.0,-918.0,-471.6666666666667
2020-08-01,486.0,248.0,40.0,198.0,102.0,19.0,-516.0,-131.66666666666666
2020-09-01,-71.0,-33.0,-29.0,-9.0,486.0,102.0,19.0,202.33333333333334
2020-10-01,-124.0,-142.0,-17.0,35.0,-71.0,486.0,102.0,172.33333333333334
2020-11-01,-122.0,-89.0,0.0,-33.0,-124.0,-71.0,486.0,97.0
2020-12-01,-5.0,5.0,9.0,-19.0,-122.0,-124.0,-71.0,-105.66666666666667
2021-01-01,63.0,-13.0,59.0,17.0,-5.0,-122.0,-124.0,-83.66666666666667
2021-02-01,13.0,-1.0,11.0,3.0,63.0,-5.0,-122.0,-21.333333333333332
2021-03-01,90.0,2.0,33.0,55.0,13.0,63.0,-5.0,23.666666666666668
2021-04-01,49.0,9.0,-6.0,46.0,90.0,13.0,63.0,55.333333333333336
2021-05-01,36.0,-8.0,-2.0,46.0,49.0,90.0,13.0,50.666666666666664
2021-06-01,102.0,1.0,19.0,82.0,36.0,49.0,90.0,58.333333333333336
2021-07-01,8.0,5.0,-17.0,20.0,102.0,36.0,49.0,62.333333333333336
2021-08-01,97.0,-4.0,-27.0,128.0,8.0,102.0,36.0,48.666666666666664
2021-09-01,-34.0,-1.0,-16.0,-17.0,97.0,8.0,102.0,69.0
2021-10-01,-75.0,-9.0,-5.0,-61.0,-34.0,97.0,8.0,23.666666666666668
2021-11-01,19.0,11.0,-8.0,16.0,-75.0,-34.0,97.0,-4.0
2021-12-01,16.0,-7.0,-3.0,26.0,19.0,-75.0,-34.0,-30.0
2022-01-01,-13.0,-3.0,-32.0,22.0,16.0,19.0,-75.0,-13.333333333333334
2022-02-01,-17.0,-5.0,-20.0,8.0,-13.0,16.0,19.0,7.333333333333333
2022-03-01,1.0,-7.0,-17.0,25.0,-17.0,-13.0,16.0,-4.666666666666667
2022-04-01,36.0,-1.0,16.0,21.0,1.0,-17.0,-13.0,-9.666666666666666
2022-05-01,56.0,-4.0,32.0,28.0,36.0,1.0,-17.0,6.666666666666667
2022-06-01,17.0,-9.0,7.0,19.0,56.0,36.0,1.0,31.0
2022-07-01,164.0,9.0,30.0,125.0,17.0,56.0,36.0,36.333333333333336
2022-08-01,0.0,-1.0,7.0,-6.0,164.0,17.0,56.0,79.0
2022-09-01,-9.0,4.0,5.0,-18.0,0.0,164.0,17.0,60.333333333333336
2022-10-01,-4.0,5.0,-9.0,0.0,-9.0,0.0,164.0,51.666666666666664
2022-11-01,86.0,7.0,23.0,56.0,-4.0,-9.0,0.0,-4.333333333333333
