series_id,target_date,vintage_date,level,monthly_change_thousands
ADPMNUSNERSA,2020-01-01,2022-08-31,121300000.0,1662.0
ADPMNUSNERSA,2020-02-01,2022-08-31,121453000.0,153.0
ADPMNUSNERSA,2020-03-01,2022-08-31,121017000.0,-436.0
ADPMNUSNERSA,2020-04-01,2022-08-31,114360000.0,-6657.0
ADPMNUSNERSA,2020-05-01,2022-08-31,114164000.0,-196.0
ADPMNUSNERSA,2020-06-01,2022-08-31,114125000.0,-39.0
ADPMNUSNERSA,2020-07-01,2022-08-31,113842000.0,-283.0
ADPMNUSNERSA,2020-08-01,2022-08-31,114071000.0,229.0
ADPMNUSNERSA,2020-09-01,2022-08-31,114213000.0,142.0
ADPMNUSNERSA,2020-10-01,2022-08-31,114447000.0,234.0
ADPMNUSNERSA,2020-11-01,2022-08-31,114576000.0,129.0
ADPMNUSNERSA,2020-12-01,2022-08-31,114518000.0,-58.0
ADPMNUSNERSA,2021-01-01,2022-08-31,114409000.0,-109.0
ADPMNUSNERSA,2021-02-01,2022-08-31,114750000.0,341.0
ADPMNUSNERSA,2021-03-01,2022-08-31,115047000.0,297.0
ADPMNUSNERSA,2021-04-01,2022-08-31,115265000.0,218.0
ADPMNUSNERSA,2021-05-01,2022-08-31,115753000.0,488.0
ADPMNUSNERSA,2021-06-01,2022-08-31,116045000.0,292.0
ADPMNUSNERSA,2021-07-01,2022-08-31,116663000.0,618.0
ADPMNUSNERSA,2021-08-01,2022-08-31,117296000.0,633.0
ADPMNUSNERSA,2021-09-01,2022-08-31,117632000.0,336.0
ADPMNUSNERSA,2021-10-01,2022-08-31,117938000.0,306.0
ADPMNUSNERSA,2021-11-01,2022-08-31,118438000.0,500.0
ADPMNUSNERSA,2021-12-01,2022-08-31,118804000.0,366.0
ADPMNUSNERSA,2022-01-01,2022-08-31,119176000.0,372.0
ADPMNUSNERSA,2022-02-01,2022-08-31,119551000.0,375.0
ADPMNUSNERSA,2022-03-01,2022-08-31,119976000.0,425.0
ADPMNUSNERSA,2022-04-01,2022-08-31,120433000.0,457.0
ADPMNUSNERSA,2022-05-01,2022-08-31,120791000.0,358.0
