series_id,target_date,vintage_date,level,monthly_change_thousands
ADPMNUSNERSA,2020-01-01,2026-08-05,125098000.0,-65.0
ADPMNUSNERSA,2020-02-01,2026-08-05,124969000.0,-129.0
ADPMNUSNERSA,2020-03-01,2026-08-05,124782000.0,-187.0
ADPMNUSNERSA,2020-04-01,2026-08-05,123327000.0,-1455.0
ADPMNUSNERSA,2020-05-01,2026-08-05,121499000.0,-1828.0
ADPMNUSNERSA,2020-06-01,2026-08-05,119957000.0,-1542.0
ADPMNUSNERSA,2020-07-01,2026-08-05,119115000.0,-842.0
ADPMNUSNERSA,2020-08-01,2026-08-05,118758000.0,-357.0
ADPMNUSNERSA,2020-09-01,2026-08-05,118978000.0,220.0
ADPMNUSNERSA,2020-10-01,2026-08-05,119197000.0,219.0
ADPMNUSNERSA,2020-11-01,2026-08-05,119424000.0,227.0
ADPMNUSNERSA,2020-12-01,2026-08-05,119612000.0,188.0
ADPMNUSNERSA,2021-01-01,2026-08-05,119529000.0,-83.0
ADPMNUSNERSA,2021-02-01,2026-08-05,119330000.0,-199.0
ADPMNUSNERSA,2021-03-01,2026-08-05,119262000.0,-68.0
ADPMNUSNERSA,2021-04-01,2026-08-05,119308000.0,46.0
ADPMNUSNERSA,2021-05-01,2026-08-05,119380000.0,72.0
ADPMNUSNERSA,2021-06-01,2026-08-05,119592000.0,212.0
ADPMNUSNERSA,2021-07-01,2026-08-05,120165000.0,573.0
ADPMNUSNERSA,2021-08-01,2026-08-05,120762000.0,597.0
ADPMNUSNERSA,2021-09-01,2026-08-05,121476000.0,714.0
ADPMNUSNERSA,2021-10-01,2026-08-05,122155000.0,679.0
ADPMNUSNERSA,2021-11-01,2026-08-05,123013000.0,858.0
ADPMNUSNERSA,2021-12-01,2026-08-05,123960000.0,947.0
ADPMNUSNERSA,2022-01-01,2026-08-05,124431000.0,471.0
ADPMNUSNERSA,2022-02-01,2026-08-05,125015000.0,584.0
ADPMNUSNERSA,2022-03-01,2026-08-05,125613000.0,598.0
ADPMNUSNERSA,2022-04-01,2026-08-05,126298000.0,685.0
ADPMNUSNERSA,2022-05-01,2026-08-05,126601000.0,303.0
ADPMNUSNERSA,2022-06-01,2026-08-05,127139000.0,538.0
ADPMNUSNERSA,2022-07-01,2026-08-05,127548000.0,409.0
ADPMNUSNERSA,2022-08-01,2026-08-05,127913000.0,365.0
ADPMNUSNERSA,2022-09-01,2026-08-05,128252000.0,339.0
ADPMNUSNERSA,2022-10-01,2026-08-05,128503000.0,251.0
ADPMNUSNERSA,2022-11-01,2026-08-05,128772000.0,269.0
ADPMNUSNERSA,2022-12-01,2026-08-05,128963000.0,191.0
ADPMNUSNERSA,2023-01-01,2026-08-05,129150000.0,187.0
ADPMNUSNERSA,2023-02-01,2026-08-05,129300000.0,150.0
ADPMNUSNERSA,2023-03-01,2026-08-05,129376000.0,76.0
ADPMNUSNERSA,2023-04-01,2026-08-05,129467000.0,91.0
ADPMNUSNERSA,2023-05-01,2026-08-05,129827000.0,360.0
ADPMNUSNERSA,2023-06-01,2026-08-05,130310000.0,483.0
ADPMNUSNERSA,2023-07-01,2026-08-05,130579000.0,269.0
ADPMNUSNERSA,2023-08-01,2026-08-05,130695000.0,116.0
ADPMNUSNERSA,2023-09-01,2026-08-05,130732000.0,37.0
ADPMNUSNERSA,2023-10-01,2026-08-05,130703000.0,-29.0
ADPMNUSNERSA,2023-11-01,2026-08-05,130808000.0,105.0
ADPMNUSNERSA,2023-12-01,2026-08-05,131090000.0,282.0
ADPMNUSNERSA,2024-01-01,2026-08-05,131330000.0,240.0
ADPMNUSNERSA,2024-02-01,2026-08-05,131223000.0,-107.0
ADPMNUSNERSA,2024-03-01,2026-08-05,131120000.0,-103.0
ADPMNUSNERSA,2024-04-01,2026-08-05,131164000.0,44.0
ADPMNUSNERSA,2024-05-01,2026-08-05,131365000.0,201.0
ADPMNUSNERSA,2024-06-01,2026-08-05,131469000.0,104.0
ADPMNUSNERSA,2024-07-01,2026-08-05,131589000.0,120.0
ADPMNUSNERSA,2024-08-01,2026-08-05,131635000.0,46.0
ADPMNUSNERSA,2024-09-01,2026-08-05,131614000.0,-21.0
ADPMNUSNERSA,2024-10-01,2026-08-05,131602000.0,-12.0
ADPMNUSNERSA,2024-11-01,2026-08-05,131704000.0,102.0
ADPMNUSNERSA,2024-12-01,2026-08-05,131861000.0,157.0
ADPMNUSNERSA,2025-01-01,2026-08-05,132001000.0,140.0
ADPMNUSNERSA,2025-02-01,2026-08-05,132015000.0,14.0
ADPMNUSNERSA,2025-03-01,2026-08-05,131962000.0,-53.0
ADPMNUSNERSA,2025-04-01,2026-08-05,131939000.0,-23.0
ADPMNUSNERSA,2025-05-01,2026-08-05,131915000.0,-24.0
ADPMNUSNERSA,2025-06-01,2026-08-05,131914000.0,-1.0
ADPMNUSNERSA,2025-07-01,2026-08-05,131991000.0,77.0
ADPMNUSNERSA,2025-08-01,2026-08-05,132040000.0,49.0
ADPMNUSNERSA,2025-09-01,2026-08-05,132128000.0,88.0
ADPMNUSNERSA,2025-10-01,2026-08-05,132148000.0,20.0
ADPMNUSNERSA,2025-11-01,2026-08-05,132222000.0,74.0
ADPMNUSNERSA,2025-12-01,2026-08-05,132259000.0,37.0
ADPMNUSNERSA,2026-01-01,2026-08-05,132270000.0,11.0
ADPMNUSNERSA,2026-02-01,2026-08-05,132336000.0,66.0
ADPMNUSNERSA,2026-03-01,2026-08-05,132397000.0,61.0
ADPMNUSNERSA,2026-04-01,2026-08-05,132502000.0,105.0
ADPMNUSNERSA,2026-05-01,2026-08-05,132624000.0,122.0
ADPMNUSNERSA,2026-06-01,2026-08-05,132719000.0,95.0
ADPMNUSNERSA,2026-07-01,2026-08-05,132763000.0,44.0
CES9091000001,2020-01-01,2026-07-02,2855.0,18.0
CES9091000001,2020-02-01,2026-07-02,2857.0,2.0
CES9091000001,2020-03-01,2026-07-02,2876.0,19.0
CES9091000001,2020-04-01,2026-07-02,2875.0,-1.0
CES9091000001,2020-05-01,2026-07-02,2876.0,1.0
CES9091000001,2020-06-01,2026-07-02,2883.0,7.0
CES9091000001,2020-07-01,2026-07-02,2908.0,25.0
CES9091000001,2020-08-01,2026-07-02,3156.0,248.0
CES9091000001,2020-09-01,2026-07-02,3123.0,-33.0
CES9091000001,2020-10-01,2026-07-02,2981.0,-142.0
CES9091000001,2020-11-01,2026-07-02,2892.0,-89.0
CES9091000001,2020-12-01,2026-07-02,2897.0,5.0
CES9091000001,2021-01-01,2026-07-02,2884.0,-13.0
CES9091000001,2021-02-01,2026-07-02,2883.0,-1.0
CES9091000001,2021-03-01,2026-07-02,2885.0,2.0
CES9091000001,2021-04-01,2026-07-02,2894.0,9.0
CES9091000001,2021-05-01,2026-07-02,2886.0,-8.0
CES9091000001,2021-06-01,2026-07-02,2887.0,1.0
CES9091000001,2021-07-01,2026-07-02,2892.0,5.0
CES9091000001,2021-08-01,2026-07-02,2888.0,-4.0
CES9091000001,2021-09-01,2026-07-02,2887.0,-1.0
CES9091000001,2021-10-01,2026-07-02,2878.0,-9.0
CES9091000001,2021-11-01,2026-07-02,2889.0,11.0
CES9091000001,2021-12-01,2026-07-02,2882.0,-7.0
CES9091000001,2022-01-01,2026-07-02,2879.0,-3.0
CES9091000001,2022-02-01,2026-07-02,2874.0,-5.0
CES9091000001,2022-03-01,2026-07-02,2867.0,-7.0
CES9091000001,2022-04-01,2026-07-02,2866.0,-1.0
CES9091000001,2022-05-01,2026-07-02,2862.0,-4.0
CES9091000001,2022-06-01,2026-07-02,2853.0,-9.0
CES9091000001,2022-07-01,2026-07-02,2862.0,9.0
CES9091000001,2022-08-01,2026-07-02,2861.0,-1.0
CES9091000001,2022-09-01,2026-07-02,2865.0,4.0
CES9091000001,2022-10-01,2026-07-02,2870.0,5.0
CES9091000001,2022-11-01,2026-07-02,2877.0,7.0
CES9091000001,2022-12-01,2026-07-02,2874.0,-3.0
CES9091000001,2023-01-01,2026-07-02,2880.0,6.0
CES9091000001,2023-02-01,2026-07-02,2887.0,7.0
CES9091000001,2023-03-01,2026-07-02,2893.0,6.0
CES9091000001,2023-04-01,2026-07-02,2904.0,11.0
CES9091000001,2023-05-01,2026-07-02,2915.0,11.0
CES9091000001,2023-06-01,2026-07-02,2925.0,10.0
CES9091000001,2023-07-01,2026-07-02,2930.0,5.0
CES9091000001,2023-08-01,2026-07-02,2946.0,16.0
CES9091000001,2023-09-01,2026-07-02,2951.0,5.0
CES9091000001,2023-10-01,2026-07-02,2956.0,5.0
CES9091000001,2023-11-01,2026-07-02,2960.0,4.0
CES9091000001,2023-12-01,2026-07-02,2964.0,4.0
CES9091000001,2024-01-01,2026-07-02,2971.0,7.0
CES9091000001,2024-02-01,2026-07-02,2980.0,9.0
CES9091000001,2024-03-01,2026-07-02,2989.0,9.0
CES9091000001,2024-04-01,2026-07-02,2992.0,3.0
CES9091000001,2024-05-01,2026-07-02,3001.0,9.0
CES9091000001,2024-06-01,2026-07-02,3005.0,4.0
CES9091000001,2024-07-01,2026-07-02,3007.0,2.0
CES9091000001,2024-08-01,2026-07-02,3011.0,4.0
CES9091000001,2024-09-01,2026-07-02,3012.0,1.0
CES9091000001,2024-10-01,2026-07-02,3013.0,1.0
CES9091000001,2024-11-01,2026-07-02,3009.0,-4.0
CES9091000001,2024-12-01,2026-07-02,3009.0,0.0
CES9091000001,2025-01-01,2026-07-02,3010.0,1.0
CES9091000001,2025-02-01,2026-07-02,2997.0,-13.0
CES9091000001,2025-03-01,2026-07-02,2988.0,-9.0
CES9091000001,2025-04-01,2026-07-02,2976.0,-12.0
CES9091000001,2025-05-01,2026-07-02,2952.0,-24.0
CES9091000001,2025-06-01,2026-07-02,2944.0,-8.0
CES9091000001,2025-07-01,2026-07-02,2935.0,-9.0
CES9091000001,2025-08-01,2026-07-02,2916.0,-19.0
CES9091000001,2025-09-01,2026-07-02,2914.0,-2.0
CES9091000001,2025-10-01,2026-07-02,2748.0,-166.0
CES9091000001,2025-11-01,2026-07-02,2733.0,-15.0
CES9091000001,2025-12-01,2026-07-02,2722.0,-11.0
CES9091000001,2026-01-01,2026-07-02,2685.0,-37.0
CES9091000001,2026-02-01,2026-07-02,2689.0,4.0
CES9091000001,2026-03-01,2026-07-02,2682.0,-7.0
CES9091000001,2026-04-01,2026-07-02,2681.0,-1.0
CES9091000001,2026-05-01,2026-07-02,2684.0,3.0
CES9091000001,2026-06-01,2026-07-02,2686.0,2.0
CES9092000001,2020-01-01,2026-07-02,5262.0,11.0
CES9092000001,2020-02-01,2026-07-02,5308.0,46.0
CES9092000001,2020-03-01,2026-07-02,5263.0,-45.0
CES9092000001,2020-04-01,2026-07-02,5113.0,-150.0
CES9092000001,2020-05-01,2026-07-02,5059.0,-54.0
CES9092000001,2020-06-01,2026-07-02,5069.0,10.0
CES9092000001,2020-07-01,2026-07-02,5080.0,11.0
CES9092000001,2020-08-01,2026-07-02,5120.0,40.0
CES9092000001,2020-09-01,2026-07-02,5091.0,-29.0
CES9092000001,2020-10-01,2026-07-02,5074.0,-17.0
