target_date,ADPMNUSNERSA_initial_change_k,CES9091000001_initial_change_k,CES9092000001_initial_change_k,CES9093000001_initial_change_k,PAYEMS_initial_change_k,USGOVT_initial_change_k,USPRIV_initial_change_k,ADPMNUSNERSA_initial_vintage_date,CES9091000001_initial_vintage_date,CES9092000001_initial_vintage_date,CES9093000001_initial_vintage_date,PAYEMS_initial_vintage_date,USGOVT_initial_vintage_date,USPRIV_initial_vintage_date,private_plus_government_initial_change_k,payems_minus_components_initial_k,ADPMNUSNERSA_latest_change_k,CES9091000001_latest_change_k,CES9092000001_latest_change_k,CES9093000001_latest_change_k,PAYEMS_latest_change_k,USGOVT_latest_change_k,USPRIV_latest_change_k,ADPMNUSNERSA_latest_vintage_date,CES9091000001_latest_vintage_date,CES9092000001_latest_vintage_date,CES9093000001_latest_vintage_date,PAYEMS_latest_vintage_date,USGOVT_latest_vintage_date,USPRIV_latest_vintage_date,private_plus_government_latest_change_k,payems_minus_components_latest_k
2020-01-01,1662.0,12.0,-13.0,20.0,225.0,19.0,206.0,2022-08-31,2020-02-07,2020-02-07,2020-02-07,2020-02-07,2020-02-07,2020-02-07,225.0,0.0,-65.0,18.0,11.0,26.0,237.0,55.0,182.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,237.0,0.0
2020-02-01,153.0,8.0,18.0,19.0,273.0,45.0,228.0,2022-08-31,2020-03-06,2020-03-06,2020-03-06,2020-03-06,2020-03-06,2020-03-06,273.0,0.0,-129.0,2.0,46.0,28.0,262.0,76.0,186.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,262.0,0.0
2020-03-01,-436.0,18.0,-14.0,8.0,-701.0,12.0,-713.0,2022-08-31,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-04-03,-701.0,0.0,-187.0,19.0,-45.0,-4.0,-1398.0,-30.0,-1368.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,-1398.0,0.0
2020-04-01,-6657.0,1.0,-180.0,-801.0,-20500.0,-980.0,-19520.0,2022-08-31,2020-05-08,2020-05-08,2020-05-08,2020-05-08,2020-05-08,2020-05-08,-20500.0,0.0,-1455.0,-1.0,-150.0,-767.0,-20469.0,-918.0,-19551.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,-20469.0,0.0
2020-05-01,-196.0,-14.0,-84.0,-487.0,2509.0,-585.0,3094.0,2022-08-31,2020-06-05,2020-06-05,2020-06-05,2020-06-05,2020-06-05,2020-06-05,2509.0,0.0,-1828.0,1.0,-54.0,-463.0,2614.0,-516.0,3130.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2614.0,0.0
2020-06-01,-39.0,1.0,-25.0,57.0,4800.0,33.0,4767.0,2022-08-31,2020-07-02,2020-07-02,2020-07-02,2020-07-02,2020-07-02,2020-07-02,4800.0,0.0,-1542.0,7.0,10.0,2.0,4631.0,19.0,4612.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,4631.0,0.0
2020-07-01,-283.0,27.0,33.0,241.0,1763.0,301.0,1462.0,2022-08-31,2020-08-07,2020-08-07,2020-08-07,2020-08-07,2020-08-07,2020-08-07,1763.0,0.0,-842.0,25.0,11.0,66.0,1584.0,102.0,1482.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,1584.0,0.0
2020-08-01,229.0,251.0,-2.0,95.0,1371.0,344.0,1027.0,2022-08-31,2020-09-04,2020-09-04,2020-09-04,2020-09-04,2020-09-04,2020-09-04,1371.0,0.0,-357.0,248.0,40.0,198.0,1566.0,486.0,1080.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,1566.0,0.0
2020-09-01,142.0,-34.0,-48.0,-134.0,661.0,-216.0,877.0,2022-08-31,2020-10-02,2020-10-02,2020-10-02,2020-10-02,2020-10-02,2020-10-02,661.0,0.0,220.0,-33.0,-29.0,-9.0,949.0,-71.0,1020.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,949.0,0.0
2020-10-01,234.0,-138.0,-65.0,-65.0,638.0,-268.0,906.0,2022-08-31,2020-11-06,2020-11-06,2020-11-06,2020-11-06,2020-11-06,2020-11-06,638.0,0.0,219.0,-142.0,-17.0,35.0,690.0,-124.0,814.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,690.0,0.0
